Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.012742,0.079630599,0.073197017,-0.307267089,0.325748215
0.022735,0.308118298,-0.040852943,-1.315031199,1.351263447
0.032729,-0.28277398,0.060910811,-0.662460297,0.722858836
0.042723,-0.931834506,0.267195883,0.567851179,1.12346079
0.052716,-0.802550083,-0.033990102,1.063878084,1.333071093
0.06271,-0.142812103,-0.31938347,0.735358704,0.814342386
0.072703,0.090911778,-0.376828271,0.500904068,0.633379335
0.082697,-0.174079504,-0.412434197,-0.11706652,0.462720445
0.092691,-0.509735118,-0.347754161,-0.623003871,0.876867532
0.102684417,-0.749068525,-0.189401621,-0.686194146,1.033362973
0.112678417,-0.555817463,-0.089112983,-0.458183141,0.725814002
0.122671417,-0.25876312,-0.018099325,-0.236104721,0.350758289
0.132665417,-0.190903697,0.007109246,-0.174413087,0.258678735
0.142659417,-0.253966503,0.000862135,-0.29718532,0.390920507
0.152652417,-0.295224164,-0.033003147,-0.378401392,0.481076011
0.162646417,-0.331212753,-0.154278895,-0.246438505,0.44072191
0.172639417,-0.399881723,-0.484096721,0.641841846,0.897895307
0.182633417,-0.292565874,-0.798547517,2.044440361,2.214273994
0.192627417,0.04940561,-0.700295072,1.372833264,1.54192259
0.202620417,0.793087241,-0.457908833,-0.205362985,0.93853174
0.212614417,0.429145722,0.095813572,-0.9614986,1.057272836
0.222607417,-0.054056778,0.505365091,-0.888350517,1.023465999
0.232601417,-0.207588289,0.920015529,-0.848545597,1.26868085
0.242595417,0.103385936,1.318620074,-0.041270818,1.323310557
0.252588417,0.652473838,1.391125986,0.453843337,1.602163348
0.262582417,0.920421252,1.110584181,0.621881205,1.570766927
0.272575417,0.879983736,0.784421375,0.211234174,1.197626046
0.282569417,0.856676808,0.83767533,-0.253618301,1.224711131
0.292563417,1.129077535,1.166273501,-0.443641115,1.682803434
0.302556417,1.225069009,1.398324201,-0.718138654,1.992944498
0.312550417,0.965484209,1.21715736,-1.013090338,1.85471934
0.322543417,0.640695572,0.991104076,-1.141108108,1.641616831
0.332537417,0.314527431,0.873121225,-1.054804959,1.404948996
0.342530417,-0.05600412,0.775952999,-1.176872018,1.410768324
0.352524417,-0.229684551,0.681011758,-1.245835249,1.438275869
0.362518417,-0.420373583,0.441726664,-1.68277487,1.789851295
0.372511417,-0.610379878,0.317674987,-2.370117409,2.467982481
0.382505417,-0.401204217,0.442475181,-2.600726332,2.66843148
0.392498417,-0.221158653,0.396430185,-2.299250325,2.343633951
0.402492417,-0.012308535,0.084400903,-2.067829224,2.06958757
0.412486417,0.066571281,-0.195002595,-1.468158082,1.4825471
0.422479417,0.162026638,0.009203042,-0.13298498,0.209814995
0.432473417,0.334815661,0.460329398,0.538674157,0.783692879
0.442466417,0.198500692,0.329568918,0.562526119,0.681508497
0.452460417,0.155721878,0.187675596,-0.179515952,0.302815802
0.462454417,-0.095091806,0.168809847,-1.696428704,1.707457046
0.472447417,-1.045557588,-0.440310468,-3.667860146,3.839304888
0.482441417,-1.169624979,-0.88081923,-2.839166431,3.194484486
0.492434417,-0.120284535,-0.358373508,1.195096035,1.253457009
0.502428417,0.069515793,-0.373923594,2.339846374,2.370555284
0.512422417,-1.153351008,-0.586483916,1.443649478,1.938635022
0.522415417,-1.787279817,0.047332041,1.193405605,2.149610756
0.532409417,-1.250715335,0.654854458,0.704799401,1.577930736
0.542402417,0.571412133,0.694704768,0.937034435,1.298907261
0.552396417,1.495186252,0.724804846,1.459368548,2.211488311
0.562390417,2.077263706,1.475034847,1.861693822,3.15541696
0.572383417,2.278381028,1.748410158,2.142579444,3.583099896
0.582377417,2.339607807,1.012099162,2.233659768,3.389298654
0.592370417,2.292302079,0.247798202,2.08127782,3.106085983
0.602364417,2.197960178,-0.318044385,1.350685181,2.599332921
0.612358417,1.869192291,-0.627811963,-0.062556437,1.972800292
0.622351417,1.763209754,-0.885427129,-1.589488977,2.53364659
0.632345417,2.014701422,-0.727684526,-2.4921067,3.286204862
0.642338417,1.752032801,-0.365644887,-2.017337347,2.696843542
0.652332417,0.621836182,-0.591526116,-1.25432833,1.519843065
0.662326417,-0.019484677,-1.017601977,0.004391844,1.017797978
0.672319417,-0.106728058,-1.176651432,1.013309609,1.556501151
0.682313417,-0.538661293,-1.163724115,1.663901228,2.100708714
0.692306417,-0.283898107,-0.913340201,-0.002578037,0.956449217
