Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.005644333,0.117644517,0.556823915,-0.697094525,0.899907707
0.015636333,-0.019590804,0.409056589,-0.630501171,0.751826322
0.025628333,-0.276638497,0.131111532,-0.473559564,0.563895161
0.035620333,-0.555781064,-0.027721649,-0.292816281,0.628810349
0.045612333,-0.691764788,-0.039348253,-0.154682828,0.709939141
0.055604708,-0.678920794,0.027861398,0.015101019,0.67966002
0.065596708,-0.733160444,0.122049517,0.355256358,0.823788444
0.075588708,-0.890743198,0.227244727,0.65595527,1.129309934
0.085580708,-0.862861919,0.255368958,0.713803529,1.148590211
0.095572708,-0.771638923,0.231936826,0.762872193,1.109592403
0.105564708,-0.67166323,0.156323556,0.712698405,0.991719499
0.115556708,-0.573930236,0.124766718,0.536867952,0.795732272
0.125548708,-0.513130011,0.114670331,0.306275402,0.608486906
0.135540708,-0.407527542,0.134507887,0.142408352,0.452162812
0.145532708,-0.351622313,0.131206549,0.081068721,0.383960346
0.155524708,-0.363787738,0.164679812,0.113112633,0.415036657
0.165516708,-0.529284698,0.18162095,0.181181824,0.588179662
0.175508708,-0.655231969,0.204996364,0.202820615,0.715883122
0.185500708,-0.679623922,0.221172101,0.249796561,0.757102434
0.195492708,-0.720616997,0.229914566,0.280767508,0.80683329
0.205484708,-0.697978039,0.200499563,0.247252437,0.76714222
0.215475708,-0.655747694,0.154561206,0.218677095,0.708317638
0.225467708,-0.653021429,0.170620876,0.145020888,0.690347397
0.235459708,-0.62930483,0.173413506,0.044865686,0.654300958
0.245451708,-0.558709349,0.232863024,0.081240045,0.610721925
0.255443708,-0.43859146,0.270571718,0.23777644,0.567546614
0.265435708,-0.356669045,0.262554016,0.460847132,0.639161559
0.275427708,-0.363580746,0.177456271,0.477989414,0.626223257
0.285419708,-0.403402039,0.084025366,0.393449201,0.569733044
0.295411708,-0.389902865,0.051638808,0.169419565,0.428245023
0.305403708,-0.358918761,0.090526885,-0.123142946,0.390105088
0.315395708,-0.310055627,0.100363364,-0.439310083,0.546992363
0.325387708,-0.282715508,0.095564846,-0.819857402,0.872483157
0.335379708,-0.25210855,0.093932011,-1.106690812,1.138923394
0.345371708,-0.206557571,0.074369566,-1.263731822,1.282659339
0.355363708,-0.178058826,0.009989968,-1.333634115,1.345505369
0.365355708,-0.095956317,-0.017267413,-1.484688161,1.487885988
0.375347708,0.084039107,-0.059855315,-1.569544709,1.572932237
0.385339708,0.37287168,-0.087700633,-1.620744098,1.665393684
0.395331708,0.709420163,-0.136713164,-1.695952156,1.843426476
0.405323708,0.994890002,-0.233139598,-1.700389023,1.983805186
0.415315708,1.277215501,-0.326923674,-1.628665906,2.095402386
0.425307708,1.470922207,-0.413800143,-1.564607905,2.186970643
0.435298708,1.401756371,-0.415156989,-1.224057294,1.906722976
0.445290708,1.41285117,-0.438997257,-0.817795674,1.690460524
0.455282708,1.237947647,-0.50893668,-0.710642524,1.515435158
0.465274708,1.020687187,-0.773976348,-0.54007515,1.39015211
0.475266708,0.926030267,-1.030222972,-0.205764104,1.400439322
0.485258708,0.908789021,-1.175282452,0.157515219,1.493987072
0.495250708,0.993347799,-1.217558406,0.324432176,1.604507575
0.505242708,1.159921671,-1.234449843,0.397873204,1.73999649
0.515234708,1.266846049,-1.280129169,0.599462396,1.898152987
0.525226708,1.219127945,-1.377787026,0.610104913,1.938246125
0.535218708,0.990936919,-1.541747338,0.373380972,1.870388778
0.545210708,0.64551799,-1.720984671,0.074196489,1.839561587
0.555202708,0.17715492,-1.978469735,-0.119383771,1.989969559
0.565194708,-0.131350171,-2.223123085,0.12723015,2.230631442
0.575186708,-0.213927474,-2.321729068,0.323141111,2.353850252
0.585178708,-0.204154804,-2.210538123,0.262796091,2.235446211
0.595170708,-0.215090924,-1.978336419,0.06560576,1.991075892
0.605162708,-0.242111858,-1.817059101,-0.035532945,1.83346244
0.615154708,-0.222397166,-1.816695405,-0.046461391,1.830847168
0.625146708,-0.078531907,-1.831504648,-0.05391893,1.833980312
0.635138708,0.142717889,-1.789644431,-0.174355785,1.803772581
0.645129708,0.298049539,-1.796419015,-0.30883999,1.846980494
0.655121708,0.367626727,-1.82310483,-0.411142291,1.904704338
0.665113708,0.300673075,-1.809357003,-0.482305244,1.896521925
0.675105708,0.175195299,-1.779126167,-0.380480077,1.82777143
0.685097708,0.073931391,-1.716471789,-0.04590766,1.718676458
0.695089708,0.041917995,-1.664834443,0.40926358,1.714913269
0.705081708,0.11838017,-1.559823859,0.747480567,1.733721873
0.715073708,0.219524137,-1.356734126,0.951073599,1.67136451
0.725065708,0.479478189,-1.01473516,1.277846416,1.700728738
0.735057708,1.039594305,-0.579239947,2.014809596,2.340028406
0.745049708,1.689681748,-0.165504854,2.81443037,3.286857857
0.755041708,2.015362743,0.137607642,3.168159435,3.757373691
0.765033708,2.017059751,0.268040459,3.301609268,3.878272745
0.775025708,1.882995813,0.282876453,3.525690944,4.007017464
0.785017708,1.786083477,0.237314656,3.789996786,4.196485204
0.795009708,1.779343683,0.20960397,3.935560881,4.324192088
0.805001708,1.755688626,0.187377095,4.125103054,4.487095713
0.814993708,1.659772216,0.101442175,4.526090485,4.821890647
0.824985708,1.340591133,-0.10311214,4.94763088,5.127072071
0.834977708,0.87229991,-0.247776933,5.154117699,5.233280978
0.844969708,0.434752397,-0.213550256,5.013764643,5.037107231
0.854961708,0.007674471,-0.060519998,4.552647954,4.553056661
0.864952708,-0.376704091,0.076710792,3.735549268,3.755278798
0.874944708,-0.841586021,0.064062972,2.620550147,2.753117173
0.884936708,-1.358097696,-0.096292971,1.19470661,1.811360145
0.894928708,-1.789887237,-0.428909348,-0.557535521,1.923149865
0.904920708,-1.904499241,-0.587669731,-2.363478481,3.091682972
0.914912708,-1.54094817,-0.47176403,-3.624344582,3.96647907
0.924904708,-1.129902212,-0.347252543,-4.193621897,4.357032011
0.934896708,-0.977936878,-0.347780985,-4.467759247,4.58674011
0.944888708,-0.964770702,-0.409796847,-4.120093744,4.251339604
0.954880708,-3.356619873,-0.949890562,-4.643489127,5.807855054
0.964872708,-9.299355056,-1.534779942,-6.453426905,11.42279619
0.974864708,-4.16660396,0.769444902,-4.291894881,6.031002875
0.984856708,-1.670015953,0.743918882,2.830709603,3.369760443
0.994848708,-0.408973266,-1.28392562,-0.724682858,1.529996527
1.004840708,0.853293536,-2.145089946,-4.901311576,5.417783302
1.014832708,1.712565411,-3.274453922,-5.167758669,6.35300389
1.024824708,2.362234193,-2.612573083,-3.201512538,4.759765858
1.034816708,1.924459443,-2.383869476,-3.66329464,4.775573834
1.044808708,1.298676829,-1.996059768,-3.945995822,4.608871785
1.054800458,0.758820949,-1.592393581,-4.539451373,4.870127855
1.064791458,0.515302252,-0.911135362,-5.055990311,5.163210443
1.074783458,0.393958786,-0.453705708,-5.499434375,5.532163306
1.084775458,0.264075023,-0.122675827,-6.116199852,6.12312711
1.094767458,0.254810548,0.343330888,-7.128717747,7.141527934
1.104759458,0.302297395,0.699736882,-7.618524384,7.656561187
1.114751458,0.365677339,0.878258515,-7.744183972,7.802399845
1.124743458,0.263367199,0.999656726,-6.57189968,6.652709317
1.134735458,-0.245027736,1.410657441,-3.273841426,3.573238124
1.144727458,0.579585919,2.088385841,-1.124212579,2.441542378
1.154719458,0.480983079,1.798420517,0.070123318,1.862948834
1.164711458,1.500170565,1.498704083,2.142580613,3.014511127
1.174703458,2.096071568,1.491488765,-0.831479913,2.703592721
1.184695458,1.946972246,1.010626468,-1.4388992,2.623451485
1.194687458,1.205932607,0.775362723,1.036620119,1.769192492
1.204679458,0.793180212,0.666640033,3.449094173,3.601360076
1.214671458,1.304463818,0.858604854,0.529981102,1.649153758
1.224663458,1.162731477,0.6459539,0.603663036,1.46068819
1.234655458,0.689901573,0.349419375,2.46886928,2.587155504
1.244647458,0.810647745,-0.134420471,4.374895522,4.451396349
1.254639458,1.540709311,-0.290806008,4.770450305,5.021508681
1.264631458,2.186712035,0.044202904,6.725100823,7.071820452
1.274622458,3.201146502,0.509356218,9.425756655,9.967530848
1.284614458,4.665101021,0.33519193,11.39389378,12.31650667
1.294606458,5.87599214,-0.558985046,13.05639518,14.32861483
1.304598458,6.227187606,-1.829062558,14.0982544,15.52044176
1.314590458,5.547168705,-3.381848854,14.28355267,15.69164934
1.324582458,4.383711369,-4.8273978,13.50192962,14.99409212
1.334574458,2.787833432,-5.72856863,11.98134716,13.56986343
1.344566458,0.953277123,-6.137359171,10.04714669,11.81190381
1.354558458,-0.651410814,-6.023856529,8.264567454,10.2476465
1.364550458,-1.78459536,-5.554292952,6.386785603,8.65020122
1.374542458,-2.24414441,-4.489271738,4.337547017,6.633555532
1.384534458,-2.36728531,-3.027667215,2.431517267,4.547865953
1.394526458,-2.24175056,-1.576573062,1.038238043,2.930693848
1.404518458,-1.729396183,-0.092455589,0.019629103,1.731977048
1.414510458,-1.054127559,1.202678997,-0.624861531,1.716995519
1.424502458,-0.80400297,2.012072514,-1.148373274,2.45226788
1.434494458,-1.14251641,2.206571518,-1.528729974,2.917416142
1.444486458,-1.733275518,1.984847878,-2.350860189,3.531346592
1.454478458,-2.097099216,1.792008022,-3.419309626,4.393267143
1.464469458,-2.23136152,1.793952659,-4.369267577,5.223766796
1.474461458,-2.258821507,2.020194589,-5.102177467,5.934279711
1.484453458,-2.063558418,2.217172228,-5.442267317,6.228354484
1.494445458,-1.628337585,2.276288017,-5.410897005,6.091861524
1.504437458,-1.293883135,2.289932056,-5.149756846,5.782552893
1.514429458,-1.099541568,2.145147834,-4.992608832,5.544077366
1.524421458,-0.960290419,1.829871667,-5.050058895,5.456526629
1.534413458,-0.894580725,1.614245941,-5.140363294,5.461629741
1.544405458,-0.732691643,1.409975948,-5.212078809,5.448911334
1.554397458,-0.253242471,1.214965605,-5.057411184,5.207463976
1.564389458,0.231862566,1.166687192,-4.522147708,4.675974673
1.574381458,0.341359865,1.150957743,-3.967901831,4.145536783
1.584373458,0.22724385,1.014210665,-3.731098952,3.873159231
1.594365458,0.181337653,0.808247975,-3.515550118,3.611819592
1.604357458,0.386160647,0.586372892,-3.075321438,3.154450056
1.614349458,0.629975214,0.402048847,-2.401977133,2.51555286
1.624341458,0.566614346,0.169472738,-2.110013376,2.191330481
1.634333458,0.717154275,0.053148924,-2.132661982,2.250640396
1.644325458,0.961333855,0.273716333,-1.931347609,2.1746694
1.654317458,1.353662876,1.394948457,-2.990582419,3.566772713
1.664308458,2.306121096,4.52732951,-5.609881262,7.568730064
1.674300458,3.232581133,7.609219126,-5.526303501,9.944336421
1.684292458,2.666722978,7.432693439,-2.541126248,8.29540028
1.694284458,1.094280097,4.829832581,0.493464655,4.976769942
1.704276458,0.49174572,1.057424731,3.405519553,3.599656142
1.714268458,1.173504899,-2.550836134,7.124177384,7.657531073
1.724260458,2.15535678,-4.339271945,11.34353755,12.3349377
1.734252458,2.744435105,-4.924583495,14.11817002,15.20217653
1.744244458,2.777261374,-5.20725778,14.72764168,15.86606895
1.754236458,2.371223118,-5.186353399,14.11346535,15.22205193
1.764228458,1.739526191,-4.567280319,12.8002427,13.70154057
1.774220458,0.759982791,-3.483239281,11.30549089,11.85430951
1.784212458,-0.445830898,-2.560800959,9.037364126,9.403744844
1.794204458,-1.501326998,-1.895674331,6.284991426,6.734142941
1.804196458,-2.286407793,-1.435877505,3.997722631,4.824022288
1.814188458,-2.617036555,-0.965185854,2.393808573,3.675701776
1.824180458,-2.618325866,-0.479232825,1.171007845,2.908015443
1.834172458,-2.282048255,0.034554998,0.116364269,2.285274366
1.844164458,-1.889865122,0.508249632,-0.861266799,2.138150689
