Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.016484583,-0.569062722,0.551039264,-1.020944903,1.292209405
0.026479583,-1.087416928,0.817227325,-1.436967865,1.978689647
0.036474583,-1.503336394,1.234764715,-1.794777701,2.646864411
0.046470583,-0.99181349,1.394007202,-1.41766679,2.221875155
0.056465583,0.25954767,1.588381514,-0.470069361,1.676689008
0.066461583,0.98024682,1.420585136,-0.664406835,1.849427587
0.076456583,1.057319554,0.275486888,-2.77338467,2.98085226
0.086451583,1.282439696,-0.188942249,-4.479322116,4.663118845
0.096447583,1.844774027,0.677740826,-4.396220317,4.815524573
0.106442583,2.455667144,1.497524554,-3.231487704,4.326129181
0.116438583,2.350589171,1.17228897,-1.868936183,3.223732827
0.126433583,2.08087407,0.444516444,1.402923621,2.548691125
0.136428583,1.053627038,-2.799214453,-1.274761425,3.251268703
0.146424583,0.114538476,-5.28640803,1.712257701,5.557972234
0.156419583,0.48902311,-5.183251451,0.95881122,5.293822642
0.166414583,0.357386498,-5.067704623,3.030090301,5.9153024
0.176410583,0.183594093,-4.150928159,2.884275945,5.057959974
0.186405583,0.680525855,-2.351106357,0.713093677,2.549376224
0.196401583,1.186243058,-0.110500681,-2.416565351,2.694284894
0.206396583,1.448161482,0.615254556,-4.50700225,4.773759433
0.216391583,1.779381106,0.238509973,-4.662922933,4.996592279
0.226387583,1.789044799,-0.283043244,-5.367589018,5.664963074
0.236382583,2.374154912,-0.878772778,-7.615048215,8.024824762
0.246377583,3.149768187,-1.516481811,-8.502707591,9.193301534
0.256373583,2.107025595,-2.032241315,0.230361001,2.936431136
0.266368583,1.343749799,-3.259933239,-6.359270945,7.271392934
0.276364583,2.06343358,-3.641183394,-3.101394757,5.209090523
0.286359583,4.092668549,-2.186695517,-2.705510191,5.371346063
0.296354583,5.077062507,-0.157808749,-4.931076828,7.079335137
0.306350583,3.563067516,0.95123966,-2.261633433,4.32611752
0.316345583,4.392141885,0.896101586,-1.8729655,4.85817951
0.326341583,4.312190566,0.798596634,-2.407467084,5.002863362
0.336336583,2.241759624,0.631791651,-2.351147872,3.309462678
0.346331583,1.320067406,-0.598813063,-2.772605821,3.128657552
0.356327583,1.705463383,-3.576760818,-3.076696118,5.01676014
0.366322583,3.512333857,-6.533294023,-2.33878335,7.777552795
0.376317583,6.138941427,-6.811839589,-1.38028788,9.273238651
0.386313583,5.766878418,-4.794417165,-1.007307442,7.566901012
0.396308583,-0.168591599,-1.983804443,1.701464326,2.618947125
0.406304583,-9.602183524,0.716970965,5.719330029,11.19940676
0.416299583,-3.818872091,-0.680990416,-2.114046201,4.417773572
0.426294583,1.113291149,-2.528287809,-2.962305869,4.050544715
0.436290583,1.514392601,-3.155122483,-0.912481391,3.616739571
0.446285583,-1.606741771,-4.4002356,2.170665375,5.162894598
0.456280583,-3.985363955,-4.486189671,4.941565563,7.773550915
0.466276583,-3.97569383,-4.184937319,4.897164146,7.569812314
0.476271583,-3.605966198,-5.052251016,2.859073861,6.833925366
0.486267583,-4.078352226,-7.86012198,2.009238369,9.080281562
0.496262583,-4.666768062,-10.68037793,2.112220993,11.84528068
0.506257583,-4.907248839,-11.90236999,3.771776862,13.41543153
0.516253583,-5.005424175,-12.42971633,5.811084538,14.60550659
0.526248583,-4.062347812,-13.37400658,4.866751608,14.80040516
0.536243583,-2.59522761,-13.61268291,1.535309846,13.94265106
0.546239583,-1.299271783,-13.01327898,-0.745966577,13.09923674
0.556234583,-1.941363305,-13.38109107,-0.967382726,13.55574856
0.566230583,1.6033422,-12.82966705,-0.463944914,12.93778605
0.576225583,7.82688816,-9.669631741,0.947455342,12.47636277
0.586220583,11.36599086,-8.771538008,0.258532301,14.35940341
0.596216583,13.70105071,-7.956683484,-1.973932296,15.96633994
0.606211583,15.87672364,-4.625782589,-2.685995108,16.75359029
