Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.008159292,-0.057496695,-1.895249823,-2.079097978,2.813880979
0.018152292,-0.211653565,-2.04226929,-3.076154666,3.698430561
0.028146292,0.170042586,-1.715830935,-3.018406395,3.476171377
0.038139292,1.008021825,-1.132260101,-2.612390943,3.020381992
0.048133292,1.862175925,-0.679368691,-1.720620974,2.624838572
0.058127292,2.670446485,-0.299455209,-0.650930758,2.764899402
0.068120292,3.083208747,-0.157129303,0.075121518,3.08812387
0.078114292,2.991773205,-0.115495373,-0.083080164,2.995154153
0.088107292,2.623171162,-0.245955525,-1.173772409,2.884313217
0.098101292,2.045090864,-0.530345383,-2.277129723,3.10628116
0.108094292,1.471226847,-0.811135696,-2.678429396,3.16171371
0.118088292,1.076209423,-0.966566967,-2.837738541,3.185159093
0.128081542,0.838993147,-0.972683447,-2.861249025,3.136362315
0.138075542,0.911232572,-0.791276212,-1.825013069,2.187952364
0.148068542,1.741062547,-0.250470453,0.620886009,1.865350819
0.158062542,2.164735714,-0.245348292,1.464260328,2.624944724
0.168055542,2.164380934,-0.572416977,0.623974509,2.324123536
0.178049542,1.777923249,-0.559661861,0.01125706,1.863963304
0.188042542,1.30921702,0.056330906,-0.18760616,1.323789427
0.198036542,0.55729023,0.427365098,-0.609139538,0.929658165
0.208029542,-0.573546513,0.438546436,-1.85296159,1.988654126
0.218023542,-1.436404632,0.703263338,-2.491722538,2.960830761
0.228017542,-1.487172497,1.324671503,-1.951817542,2.788553091
0.238010542,-0.971816451,1.927002543,-1.563538449,2.665036303
0.248004542,-0.1873157,2.242227401,-1.118982244,2.512925019
0.257997542,0.149563298,2.210877846,0.241981757,2.229104126
0.267991542,-0.0567287,1.782357338,0.696147861,1.914324338
0.277984542,-0.119845848,1.481355833,0.689754515,1.638456414
0.287978542,-0.101144259,1.363642903,0.916557485,1.646156054
0.297971542,-0.185226636,1.287948358,1.023668536,1.655601749
0.307965542,-0.607479513,1.304786,1.002378239,1.753927022
0.317958542,-1.320660752,1.389754229,0.988427952,2.156977389
0.327952542,-1.901972367,1.358117284,0.990746373,2.538416794
0.337945542,-2.426026293,0.994771011,0.9200243,2.778779885
0.347939542,-2.683874031,0.536578808,0.822895031,2.858015546
0.357932542,-2.868315678,0.151864762,0.809882053,2.984326838
0.367926542,-2.951135056,-0.013917543,0.741152126,3.042810919
0.377919542,-2.747746968,-0.001544834,0.691924417,2.833526987
0.387913542,-2.413738077,0.29772151,0.918988173,2.599867085
0.397907542,-2.168674252,0.590863188,1.56471257,2.738721005
0.407900542,-2.120243811,0.708572025,1.86392512,2.910622783
0.417894542,-2.18665634,0.836131373,1.618296454,2.845955909
0.427887542,-2.216843614,0.955978829,1.139598942,2.669639841
0.437881542,-2.173823749,0.964769825,0.518350405,2.434127697
0.447874542,-1.948057636,1.069753951,-0.174532955,2.22929671
0.457868542,-1.759310538,1.323507323,-0.541096659,2.267075384
0.467861542,-1.49770611,1.591982229,-0.417865419,2.225340989
0.477855542,-1.189390907,1.621240235,0.279893934,2.030125918
0.487848542,-0.942912933,1.462700291,1.514684377,2.307129321
0.497842542,-0.917604722,0.919509745,2.975641029,3.246834786
0.507835542,-0.996318477,0.04725135,4.325797037,4.439302108
0.517829542,-1.124351304,-0.911377437,5.175039622,5.373621663
0.527822542,-1.453950664,-1.847520464,5.278314899,5.778227459
0.537816542,-1.709390373,-2.562964136,4.563416771,5.505957977
0.547809542,-1.956131617,-2.914898691,3.407854346,4.892500028
0.557803542,-2.182766188,-2.845083228,1.899448124,4.05793913
0.567797542,-2.062483407,-2.373496808,0.558060016,3.193549104
0.577790542,-1.558827055,-1.557295377,-0.45650382,2.250223637
0.587784542,-0.90382225,-0.70928597,-1.173727385,1.642442456
0.597777542,-0.366291516,-0.059846252,-1.394812363,1.443347698
0.607771542,-0.001532811,0.138282849,-1.250713581,1.258335789
0.617764542,0.231939749,-0.126286702,-0.95542042,0.991247979
0.627758542,0.344090405,-0.68455137,-0.60112242,0.973836203
0.637751542,0.523982772,-1.186835381,-0.395040228,1.356168481
0.647745542,0.754612562,-1.386140943,-0.549139504,1.671041898
0.657738542,0.863704357,-1.396946597,-0.926725793,1.885806381
0.667732542,0.895783352,-1.2287912,-1.478218802,2.120727812
0.677725542,0.857493152,-0.927887051,-2.232211413,2.564963289
0.687719542,0.789692933,-0.583086099,-3.134385917,3.28450596
0.697712542,0.755865913,-0.31175015,-3.780399166,3.867808073
0.707706542,0.71704157,-0.081349095,-4.025458313,4.089630903
0.717699542,0.509615907,-0.023318404,-3.971507224,4.004138078
0.727693542,0.268149655,-0.100010192,-3.725671567,3.736647548
0.737687542,-0.065469958,-0.193364498,-3.462766133,3.468778666
0.747680542,-0.442334994,-0.237154881,-3.404526111,3.441322525
0.757674542,-0.606517354,-0.111712224,-3.507466927,3.561273251
0.767667542,-0.609495779,0.148033082,-3.447786736,3.504373307
0.777661542,-0.612370417,0.421255343,-3.169179189,3.255172856
0.787654542,-0.636341077,0.674436272,-2.498698266,2.665199294
0.797648542,-0.643115515,0.849060152,-1.64141459,1.956717293
0.807641542,-0.725549123,0.883527149,-1.099251984,1.586000214
0.817635542,-0.794400672,0.748376068,-0.935628764,1.437546643
0.827628542,-0.611793004,0.528856097,-0.580206345,0.995298375
0.837622542,-0.46255916,0.393384589,-0.166467306,0.629621931
0.847615542,-0.307449523,0.406603974,0.385053184,0.638841103
0.857609542,-0.124268974,0.477918078,1.194219537,1.292288192
0.867602542,0.127313327,0.566274185,2.033332406,2.114548606
0.877596542,0.53506204,0.607828592,2.860658457,2.973064713
0.887589542,0.777222868,0.471296691,3.162906881,3.290923259
0.897583542,0.906614441,0.193316843,3.129614004,3.264016692
0.907577542,0.959681724,-0.127049471,2.701986659,2.870167675
0.917570542,0.908623545,-0.666558611,1.506395949,1.881256464
0.927564542,0.703655101,-1.127855394,0.44204658,1.400925933
0.937557542,0.439333179,-0.590049548,1.131531538,1.349642817
0.947551542,0.866246288,0.006668165,1.27660973,1.542776554
0.957544542,1.361239405,0.291227008,0.793756601,1.602446701
0.967538542,1.597297787,0.62613447,1.30977806,2.158453882
0.977531542,1.629176514,0.742828815,1.732086194,2.491211221
0.987525542,1.428678413,0.470989712,1.605959998,2.200468321
0.997518542,1.247200866,0.01505278,1.550413204,1.989853685
1.007512542,1.191143463,-0.093287648,1.41364683,1.850924822
1.017505542,1.368414962,0.091166863,0.86703917,1.622537466
1.027499542,1.638417308,0.308761345,0.505292403,1.742143868
1.037492542,2.023320218,0.497409772,0.749934644,2.214417114
1.047486542,2.34577355,0.372164167,1.518654052,2.819125724
1.057479542,2.429272374,-0.20323109,2.86155425,3.759143502
1.067473542,1.986095235,-1.105338059,3.890282966,4.505624049
1.077466542,1.261577854,-1.952401971,3.832760983,4.482578375
1.087460542,0.582833792,-2.489028726,3.050481881,3.979999866
1.097453542,-0.020495368,-2.553866746,1.758133201,3.100594744
1.107447542,-0.475152638,-2.234236888,0.45188452,2.328472487
1.117441542,-0.662980553,-1.86608742,-0.55876636,2.057679596
1.127434708,-0.472835532,-1.63622811,-1.315739881,2.152205219
1.137428708,0.042561261,-1.342184499,-1.76297528,2.216157153
1.147421708,0.736133314,-0.886729669,-1.975746102,2.287302871
1.157415708,1.5478932,-0.24820261,-2.007333346,2.546952111
1.167408708,2.091979979,0.327694922,-2.084959812,2.971669835
1.177402708,2.379104872,0.673523229,-2.161974658,3.284495084
1.187395708,2.339393653,0.753000631,-2.227393307,3.316783617
1.197389708,2.021147685,0.626240889,-2.26933597,3.102757058
1.207382708,1.587478265,0.378973249,-2.14374304,2.694316646
1.217376708,1.059483609,0.018849669,-1.870587437,2.149873993
1.227369708,0.548910366,-0.353683164,-1.605051341,1.732796635
1.237363708,0.133035704,-0.659218601,-1.438371196,1.587822207
1.247356708,-0.192360019,-0.828563907,-1.589001904,1.802345021
1.257350708,-0.463717384,-0.801851487,-1.93941969,2.149266934
1.267343708,-0.636825738,-0.559695482,-2.356229687,2.504121481
1.277337708,-0.65894941,-0.223100221,-2.492449347,2.587719417
1.287330708,-0.679304225,0.109594071,-2.306883865,2.407317648
1.297324708,-0.70266948,0.319952039,-2.108308913,2.245234994
1.307317708,-0.851105946,0.383596935,-2.231546584,2.418951859
1.317311708,-0.912798968,0.487565984,-2.394247699,2.608322179
1.327305708,-0.940041877,0.72518835,-2.381073922,2.660655914
1.337298708,-0.906067434,1.041212522,-2.041721406,2.464489402
1.347292708,-0.82957394,1.268907485,-1.50436755,2.135752994
1.357285708,-0.866843362,1.347097329,-0.992658412,1.8845316
1.367279708,-0.951609716,1.365171073,-0.527479078,1.745705384
1.377272708,-1.075168692,1.326795797,-0.019580571,1.707851926
1.387266708,-1.310710106,1.274586301,0.442693866,1.881092523
1.397259708,-1.501146757,1.208600472,0.649563094,2.033737668
1.407253708,-1.682903217,1.107275534,0.940328171,2.223159782
1.417246708,-1.929931121,1.026261191,1.076425039,2.436500981
1.427240708,-2.068705721,1.051447196,0.876579487,2.480620117
1.437233708,-2.027401575,1.181304792,0.795211388,2.477538962
1.447227708,-1.850956288,1.310514225,0.980902585,2.470962686
1.457220708,-1.538275554,1.399992412,1.278559776,2.44151296
1.467214708,-1.210089538,1.359290821,1.680880957,2.477367356
1.477207708,-0.95183498,1.392274672,2.129215048,2.716242867
1.487201708,-0.67380872,1.543516998,2.708729083,3.189620065
1.497194708,-0.458661589,1.679839276,3.477119293,3.888777317
1.507188708,-0.506364344,1.69189565,3.784968181,4.176709215
1.517181708,-0.806772065,1.510951515,3.252799051,3.676215079
1.527175708,-1.472089165,1.117106457,2.141404738,2.828530997
1.537168708,-2.257414374,0.71836845,0.97799418,2.562897872
1.547162708,-2.761787887,0.452361068,0.120402941,2.801178277
1.557155708,-2.915015343,0.251703338,-0.111370162,2.927980931
1.567149708,-2.876930673,0.064749435,0.392056979,2.904243664
1.577143708,-2.703967111,-0.162944943,1.197804465,2.961878581
1.587136708,-2.486895954,-0.436857468,2.471408726,3.53317945
1.597130708,-2.364596907,-0.863028273,3.848208157,4.598352134
1.607123708,-2.37632189,-1.43153931,4.433309206,5.229764912
1.617117708,-2.530948876,-1.87435626,4.058699149,5.13730984
1.627110708,-2.847283828,-2.087775538,3.041266669,4.659950091
1.637104708,-3.030232388,-2.047515997,1.997741573,4.167205476
1.647097708,-2.959141648,-1.88458918,1.121862583,3.683309833
1.657091708,-2.745949534,-1.725296992,0.381771727,3.265369536
1.667084708,-2.342385089,-1.451918903,-0.03120659,2.756049756
