Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.022743292,1.355778252,1.439939712,1.991296188,2.806567574
0.032733292,1.464631042,1.425018787,1.920366538,2.804216517
0.042722292,1.234890431,1.565612164,1.625016074,2.572308898
0.052712292,0.914824955,1.779092253,1.442109321,2.466121092
0.062701292,0.687453417,2.071662658,1.196398795,2.489126041
0.072691292,0.877856812,2.37263522,0.296788879,2.547177675
0.082680292,1.001937286,2.618696872,-0.554225412,2.858079327
0.092669292,0.774046003,2.77390361,-0.667246243,2.956164069
0.102659292,0.564072342,2.927878048,-0.211782058,2.989230521
0.112649292,0.538523628,3.007413922,0.017952706,3.055301703
0.122638292,0.570953273,2.944125121,-0.146721259,3.002563488
0.132627292,0.458593433,2.743784018,-0.202186192,2.789182305
0.142617292,0.421888084,2.458632852,-0.161072665,2.499761881
0.152606292,0.4183101,2.006513274,0.071062966,2.050884883
0.162596292,0.260922003,1.386593517,0.606198973,1.535642884
0.172585292,0.090029433,0.764307684,1.212759304,1.436334454
0.182575292,-0.242137805,0.194208544,1.942483631,1.967127432
0.192564292,-0.699568774,-0.246619184,2.751305584,2.849543807
0.202554292,-1.135492442,-0.616066734,3.551019913,3.778706621
0.212543292,-1.624394808,-0.98505177,4.434512563,4.824301727
0.222532292,-2.212240248,-1.190734889,4.965039795,5.564483503
0.232522292,-2.540730976,-1.259598133,5.046588573,5.788778591
0.242511292,-2.419790383,-1.231568627,4.559413183,5.306636916
0.252501292,-1.896383014,-1.151496856,3.488542998,4.134264844
0.262490292,-1.055416505,-1.061311741,1.976651836,2.479402971
0.272480292,0.021353008,-0.962240612,0.419047726,1.049744704
0.282469292,0.998896441,-0.816722125,-0.816688212,1.527026118
0.292458292,1.654855,-0.638761825,-1.253127896,2.171840525
0.302448292,2.164840379,-0.433685061,-1.092674451,2.463443536
0.312437292,2.582804031,-0.292588239,-0.86208424,2.738553227
0.322427292,2.767377825,-0.258923188,-0.656535898,2.855951791
0.332416292,2.863685853,-0.355492878,-0.770380018,2.986730189
0.342406292,3.017677832,-0.630588587,-1.380588427,3.37787594
0.352395292,3.02077978,-0.967230041,-2.248046842,3.887719001
0.362384292,2.620429987,-1.1828315,-2.846711678,4.045925241
0.372374292,1.936465823,-1.281883772,-3.040145173,3.825651391
0.382363292,1.262106881,-1.386504055,-2.916159058,3.466884902
0.392353292,0.730574732,-1.529242629,-2.526888862,3.042612328
0.402342292,0.290561046,-1.617576369,-2.041574641,2.620878869
0.412332292,-0.131184019,-1.607927002,-1.760483782,2.387873873
0.422321292,-0.337540245,-1.589770081,-1.767878755,2.401394933
0.432311292,-0.337926161,-1.579973656,-1.87026584,2.471518796
0.442300292,-0.215492683,-1.614737108,-1.904314762,2.506038255
0.452289292,-0.002992048,-1.664200167,-1.886921049,2.51595751
0.462279292,0.112209905,-1.688685821,-1.909498318,2.551555348
0.472268292,0.14325301,-1.675478715,-2.011911716,2.622124921
0.482258292,0.202252613,-1.649598938,-2.172930586,2.735637057
0.492247292,0.323549612,-1.510993615,-2.185565835,2.676655389
0.502237292,0.528286104,-1.459071217,-2.15211099,2.653216301
0.512226292,0.378361923,-2.080440937,-2.135083314,3.004991347
0.522216292,0.155192778,-2.368000717,-2.201662635,3.237102184
0.532205292,0.074172424,-1.927372818,-2.473884437,3.13693668
0.542194292,-0.022818704,-1.260559707,-2.6839556,2.965324456
0.552184292,-0.26744079,-0.519834575,-2.347285202,2.41898747
0.562173292,-0.466071729,0.176116893,-1.585576605,1.662014797
0.572163292,-0.672543675,0.635762422,-0.791834037,1.21799425
0.582152292,-0.767079118,0.879490231,-0.17965687,1.180758244
0.592142292,-0.704539054,1.068166724,-0.09450036,1.283076672
0.602131292,-0.452622841,1.390058577,-0.807322726,1.67000008
0.612120292,-0.036909672,1.549798077,-0.272424116,1.573992154
0.622110292,0.464164002,1.463541998,0.897600812,1.778507975
0.632099292,0.874499925,1.189900053,1.944581612,2.441722732
0.642089292,1.153236622,0.853167528,2.607290416,2.97587178
0.652078292,1.207647083,0.537745181,2.880861171,3.169691223
0.662068292,1.102513634,0.311261688,2.894568214,3.113028317
0.672057292,0.875827097,0.281581733,2.489084274,2.653658211
0.682047292,0.599073958,0.488715035,1.690238841,1.858666009
0.692036292,0.419636906,0.691796071,1.225668787,1.468652754
0.702025292,0.328886402,0.758973927,1.095743655,1.372902708
0.712015292,0.322578462,0.688240086,0.887843564,1.168758946
0.722004292,0.433291507,0.560191107,0.618560572,0.940304625
0.731994292,0.638043933,0.406205779,0.399246715,0.855278396
0.741983292,0.829575621,0.256224405,0.250841458,0.90375223
0.751973292,0.838617244,0.151033873,0.188745782,0.872762902
0.761962292,0.748047089,0.088744434,0.350171034,0.830704385
0.771952292,0.631199548,0.083109473,0.502362363,0.810979653
0.781941292,0.519981815,0.159474694,0.474184631,0.721570738
0.791930292,0.360976506,0.243000342,0.24707936,0.500401253
0.801920292,0.200480231,0.339840247,-0.024041412,0.395299514
0.811909292,0.066803818,0.337619913,-0.178634777,0.387763251
0.821899292,-0.047857377,0.170533314,-0.321876358,0.367391248
0.831888292,-0.091980211,-0.069964567,-0.419485098,0.435112798
0.841878292,-0.114876007,-0.390452942,-0.419020244,0.584147209
0.851867292,-0.154693353,-0.708555433,-0.338052095,0.800162517
0.861857292,-0.193169274,-1.038034414,-0.150158252,1.066478933
0.871846292,-0.176059005,-1.325848109,0.138774893,1.34466667
