Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.007284333,0.602517566,-0.419955799,-0.031183201,0.735093656
0.017278333,0.130605309,-0.681206471,-0.022548622,0.693980146
0.027272333,-0.025379109,-0.695241542,-0.09002725,0.701505386
0.037265333,-0.25633404,-0.633634694,-0.098790463,0.690622633
0.047259333,-0.386445991,-0.339174761,0.046290086,0.516258457
0.057253333,-0.344968474,0.026344045,0.137693761,0.372366525
0.067247333,-0.299843172,0.31648464,0.055955515,0.439544622
0.077241333,-0.149788416,0.506961198,0.194970728,0.56343572
0.087234333,-0.043329915,0.583933945,0.424686196,0.723335814
0.097228333,0.05519143,0.540933521,0.50088532,0.739284297
0.107222333,0.242543675,0.494243504,0.495065623,0.740401274
0.117216333,0.401964501,0.425746297,0.414600334,0.71744603
0.127209333,0.519724355,0.286762074,0.301473686,0.665756919
0.137203333,0.500949384,0.115151557,0.047323252,0.516187617
0.147197333,0.167526237,-0.229365805,-0.186561866,0.339822074
0.157191333,-1.075524422,-0.750684841,-0.224570503,1.330681188
0.167184333,-1.099727802,-0.708972559,0.259943234,1.334021668
0.177178333,-0.06102929,-0.682299315,0.129709954,0.697195527
0.187172333,1.139365638,-0.872222727,-0.325254879,1.471297821
0.197166333,2.164464695,-1.026060632,-0.885633316,2.55383128
0.207159333,1.452226612,-1.132731387,-1.247191218,2.22430404
0.217153333,1.47454675,-0.806353258,-0.564370916,1.772853131
0.227147333,1.599396353,-0.457645782,0.015651845,1.663656616
0.237141333,1.749567322,-0.232087099,0.243016166,1.781546265
0.247134333,1.982181256,-0.03721285,0.244753959,1.997581494
0.257128333,2.160132201,0.064117059,0.104897916,2.163627901
0.267122333,2.268398661,0.05487378,-0.054905318,2.269726462
0.277116333,2.373656875,0.014570092,-0.160412441,2.379115676
0.287109333,2.384868473,-0.023853132,-0.250263169,2.398082204
0.297103333,2.344470937,-0.09901675,-0.384530443,2.37785869
0.307097333,2.351001399,-0.163741334,-0.546891286,2.419319922
0.317091333,2.463406811,-0.388300728,-0.637689153,2.574062553
0.327084333,2.561598519,-0.45423744,-0.745884862,2.706374485
0.337075083,2.606528524,-0.201927161,-0.860894916,2.752436299
0.347069083,2.690643645,-0.173721946,-0.956913214,2.861018252
0.357063083,2.770142389,-0.272903003,-0.925389705,2.93334468
0.367056083,2.812625334,-0.43247001,-0.763996028,2.94645236
0.377050083,2.670290657,-0.634992417,-0.660338928,2.823068377
0.387044083,2.423094937,-0.811253809,-0.585128531,2.621430376
0.397038083,2.175248861,-0.91374439,-0.482595303,2.4082223
0.407031083,1.812207228,-0.984888632,-0.653302388,2.163539846
