"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.959458369E-3,5.307205918E-1,3.733768791E-1,-1.808409315E-1,6.736305240E-1
1.489145833E-2,5.352926028E-1,2.847553092E-1,-1.091417885E-1,6.160646774E-1
2.482245833E-2,5.525016163E-1,1.793878984E-1,-6.882114351E-2,5.849567539E-1
3.475445835E-2,5.992408961E-1,8.588565767E-2,-7.250547409E-4,6.053647854E-1
4.468645836E-2,6.727296160E-1,-2.805669487E-2,-2.831397235E-2,6.739094861E-1
5.461845838E-2,6.393556094E-1,-1.579338795E-1,-7.315393031E-2,6.626237266E-1
6.455045834E-2,4.815946613E-1,-3.184259158E-1,9.405246377E-3,5.774226705E-1
7.448245835E-2,3.895542610E-1,-4.596993238E-1,2.612319607E-1,6.567481464E-1
8.441345836E-2,3.924109548E-1,-5.602071136E-1,5.027406782E-1,8.488619187E-1
9.434545838E-2,4.477340202E-1,-6.398631477E-1,4.949235356E-1,9.245755279E-1
1.042774583E-1,4.718747617E-1,-6.079186392E-1,3.183972645E-1,8.328311237E-1
1.142094583E-1,4.581832869E-1,-5.290981722E-1,-1.168215215E-2,7.000094806E-1
1.241414584E-1,3.665695872E-1,-4.679830742E-1,-3.335362905E-1,6.816361765E-1
1.340734584E-1,2.973409658E-1,-4.211445379E-1,-5.191959125E-1,7.316684818E-1
1.440054583E-1,1.970973788E-1,-4.381985271E-1,-7.214183575E-1,8.667812714E-1
1.539364583E-1,-1.726163842E-2,-3.303144747E-1,-8.226131952E-1,8.866217261E-1
1.638684584E-1,-1.848838426E-1,-2.018996787E-1,-8.219454432E-1,8.663370170E-1
1.738004584E-1,-2.731949253E-1,-1.786727840E-1,-7.204629225E-1,7.909653934E-1
1.837324583E-1,-2.863779116E-1,-2.609857929E-1,-5.160863632E-1,6.453456644E-1
1.936644583E-1,-2.951012995E-1,-3.230475551E-1,-3.056029719E-1,5.337018608E-1
2.035964584E-1,-3.266244065E-1,-3.300507653E-1,-1.467855781E-1,4.869938568E-1
2.135274584E-1,-3.447496422E-1,-2.461689484E-1,-1.553850782E-1,4.512161228E-1
2.234594583E-1,-3.755331860E-1,-1.505014837E-1,-2.428360355E-1,4.718529544E-1
2.333917917E-1,-4.664649543E-1,-9.824433267E-2,-2.556852919E-1,5.409403580E-1
2.433237917E-1,-5.283610941E-1,-5.538190305E-2,-3.329159009E-1,6.269494382E-1
2.532557917E-1,-5.892435826E-1,-7.496598244E-2,-4.892072976E-1,7.695139233E-1
2.631877917E-1,-7.212001833E-1,-2.787192285E-2,-6.012680161E-1,9.393773340E-1
2.731187917E-1,-8.298344334E-1,6.633958519E-2,-6.649196362E-1,1.065431485E0
2.830507917E-1,-1.001447801E0,1.095212728E-1,-5.558252102E-1,1.150579972E0
2.929827917E-1,-1.066529723E0,-1.240147662E-1,-4.140869486E-1,1.150796817E0
3.029147917E-1,-9.762145071E-1,-6.985323554E-1,-5.720038712E-1,1.329710737E0
3.128467917E-1,-1.485893418E0,-9.821655840E-1,6.659861684E-2,1.782403956E0
3.227787917E-1,-1.533506272E0,-7.370292538E-1,3.151795417E-1,1.730373298E0
3.327097917E-1,-1.244110759E0,-4.708961570E-1,3.023864186E-1,1.364181922E0
3.426417917E-1,-8.497081693E-1,-2.286553681E-1,3.883802497E-1,9.618349487E-1
3.525737917E-1,1.555644415E-2,3.569731003E-1,1.422204815E0,1.466403196E0
3.625057917E-1,5.916603830E-1,6.421207577E-1,1.105791510E0,1.408955621E0
3.724377917E-1,5.449469406E-1,4.304936510E-1,1.520498264E-1,7.109227112E-1
3.823697917E-1,3.435254545E-1,-1.230078757E-2,-4.030737180E-1,5.297447209E-1
3.923007917E-1,9.715883363E-2,-3.595406127E-1,-6.424324143E-1,7.425824520E-1
4.022327917E-1,-9.121597946E-2,-4.609857112E-1,-7.609613228E-1,8.943658735E-1
4.121647917E-1,-1.797838829E-1,-5.359873617E-1,-7.953470439E-1,9.757979384E-1
4.220967917E-1,5.082151338E-2,-7.174270481E-1,-7.791625357E-1,1.060367225E0
4.320287917E-1,2.130344218E-1,-5.581529868E-1,-8.987837040E-1,1.079226838E0
4.419607917E-1,-8.883429889E-2,-3.502102107E-1,-1.151674612E0,1.207018283E0
4.518927917E-1,-4.242118411E-1,-2.990926820E-1,-1.298630344E0,1.398518104E0
4.618237917E-1,-4.318968001E-1,-2.508788806E-1,-1.496475563E0,1.577629288E0
4.717557917E-1,-1.325007207E-1,-2.672613171E-1,-1.674237936E0,1.700605103E0
4.816877917E-1,2.540323206E-1,-4.132917273E-1,-1.736877987E0,1.803354545E0
4.916197917E-1,5.267763159E-1,-6.789526615E-1,-1.641487681E0,1.852822660E0
5.015517917E-1,6.620218293E-1,-8.220425069E-1,-1.670053083E0,1.975627517E0
5.114837917E-1,7.040877950E-1,-8.324751091E-1,-2.021301175E0,2.296608994E0
5.214147917E-1,5.575845643E-1,-8.411605632E-1,-2.714021398E0,2.895576590E0
5.313467917E-1,3.172375423E-1,-7.786476883E-1,-3.523638572E0,3.622562720E0
5.412787917E-1,6.029296486E-1,-7.783249220E-1,-4.114782134E0,4.230927304E0
5.512107917E-1,7.118592563E-1,-8.030258998E-1,-4.508396811E0,4.634353893E0
5.611427917E-1,3.320865100E-1,-7.258891386E-1,-4.661980362E0,4.729826359E0
5.710747917E-1,-3.943408648E-1,-6.396605417E-1,-4.645426310E0,4.705810868E0
5.810057917E-1,-7.791976190E-1,-8.737275079E-1,-4.673489437E0,4.817888770E0
5.909377917E-1,-7.844374551E-1,-1.318676061E0,-4.886583025E0,5.121810455E0
6.008697917E-1,-6.095991655E-1,-1.691953245E0,-5.030683562E0,5.342480138E0
6.108017917E-1,-5.082098714E-1,-1.673920432E0,-5.130657501E0,5.420694907E0
6.207337917E-1,-5.315490326E-1,-1.410608324E0,-4.822366564E0,5.052482508E0
6.306657917E-1,-7.921131682E-1,-1.436613231E0,-3.687024395E0,4.035523477E0
6.405977917E-1,-9.464140264E-1,-1.446613724E0,-5.790369022E-1,1.823094762E0
6.505287917E-1,6.886008596E-1,-1.682071450E0,1.898680385E0,2.628406877E0
6.604607917E-1,2.104127569E0,-2.483226534E0,2.093836470E0,3.870131523E0
6.703927917E-1,2.211360242E0,-2.276209079E0,1.290505053E0,3.425878746E0
6.803247917E-1,1.312929125E0,-1.196761030E0,7.496533924E-1,1.928211622E0
6.902567917E-1,1.282848416E-1,-2.787578201E-1,-2.207926172E-1,3.780374356E-1
7.001887917E-1,-1.003624135E0,6.519981667E-1,-2.330887270E0,2.620190542E0
7.101197917E-1,-2.249846323E0,1.983463258E0,-3.373124809E0,4.513746332E0
7.200517917E-1,-2.694679393E0,3.843423088E0,-2.522748449E0,5.328926515E0
7.299837917E-1,-1.981755578E0,5.961129938E0,8.615702695E-1,6.340719884E0
7.399157917E-1,-4.141506467E-1,7.640592946E0,6.745318156E0,1.020046559E1
7.498477917E-1,1.110822382E0,8.147144254E0,1.355209172E1,1.585146920E1
7.597797917E-1,1.717390387E0,7.338785986E0,1.985088082E1,2.123357433E1
7.697117917E-1,2.014369885E0,5.570621302E0,2.509106895E1,2.578083103E1
7.796427917E-1,2.665825138E0,3.962500758E0,2.927162699E1,2.965866118E1
7.895747917E-1,3.286657938E0,3.032511341E0,3.159975204E1,3.191461381E1
7.995067917E-1,3.813130710E0,2.857454183E0,3.228436978E1,3.263411623E1
8.094387917E-1,4.837827187E0,3.181398700E0,3.047940447E1,3.102450590E1
8.193707917E-1,6.045930353E0,2.809870419E0,2.677979394E1,2.759721017E1
8.293027917E-1,6.188529909E0,2.269080446E0,2.231091671E1,2.326421357E1
8.392337917E-1,4.776519130E0,2.783748567E0,1.684008633E1,1.772435891E1
8.491657917E-1,2.688442753E0,3.669451465E0,1.157437276E1,1.243618524E1
8.590977917E-1,7.562557029E-1,3.807075626E0,8.144616503E0,9.022223977E0
8.690297917E-1,-5.863660946E-3,3.322680879E0,6.129344977E0,6.972023555E0
8.789617917E-1,1.408668072E-1,2.808869960E0,4.422408827E0,5.240924894E0
8.888937917E-1,4.334312922E-1,2.397313979E0,2.400581403E0,3.420200004E0
8.988247917E-1,7.116140386E-1,2.021155579E0,1.341812616E0,2.528225764E0
