"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.532291627E-3,2.533648244E-1,1.026328142E-1,-6.120526206E-1,6.703250251E-1
1.846329164E-2,2.839582606E-1,1.433336744E-1,-7.205862987E-1,7.876683629E-1
2.839529165E-2,4.124918282E-1,1.640458278E-1,-7.882333213E-1,9.046393264E-1
3.832729167E-2,3.823888271E-1,1.071158744E-1,-7.396733648E-1,8.395306499E-1
4.825929162E-2,3.977442732E-1,1.633478165E-2,-5.337923169E-1,6.658840512E-1
5.819129164E-2,4.689650410E-1,-3.216728747E-2,-3.532402378E-1,5.879979674E-1
6.812229165E-2,5.843991644E-1,-3.032117531E-2,-1.925230837E-1,6.160413093E-1
7.805429166E-2,6.306029854E-1,-1.327317953E-3,-1.448928344E-1,6.470361817E-1
8.798629168E-2,6.291023706E-1,-1.403039396E-3,-2.467472380E-1,6.757632431E-1
9.791829163E-2,6.248993920E-1,-1.223339841E-2,-2.616845351E-1,6.775896266E-1
1.078502916E-1,6.474762225E-1,-5.523382232E-2,-9.191647589E-2,6.562963297E-1
1.177822917E-1,7.168063661E-1,-1.081952704E-1,-3.782973111E-2,7.259123030E-1
1.277132917E-1,7.074753063E-1,-1.686848626E-1,2.702583075E-3,7.273123097E-1
1.376452916E-1,6.493802221E-1,-1.909944753E-1,-8.745914340E-2,6.825120250E-1
1.475772916E-1,5.244596491E-1,-1.662807798E-1,-2.716996461E-1,6.136187081E-1
1.575092917E-1,4.819302915E-1,-8.869904548E-2,-4.000004214E-1,6.325540796E-1
1.674412917E-1,4.843970125E-1,-7.603485346E-2,-4.957082319E-1,6.972434409E-1
1.773722916E-1,4.904572130E-1,-9.433079123E-2,-4.196026272E-1,6.523135294E-1
1.873042916E-1,6.080696435E-1,-1.153068003E-1,-1.975511044E-1,6.496697534E-1
1.972362917E-1,6.339392605E-1,-1.142829528E-1,-5.223083854E-2,6.462721097E-1
2.071682917E-1,5.125495286E-1,-1.706118125E-1,-7.067295671E-2,5.448027869E-1
2.171002916E-1,3.870056424E-1,-1.917606068E-1,-1.737564451E-1,4.655499971E-1
2.270312916E-1,2.975173690E-1,-1.967121752E-1,-2.327431566E-1,4.258892364E-1
2.369632917E-1,2.514467184E-1,-1.814695072E-1,-2.658021444E-1,4.084206339E-1
2.468952917E-1,2.343518718E-1,-1.609427105E-1,-3.039809543E-1,4.162064108E-1
2.568272916E-1,2.726526692E-1,-1.490598527E-1,-2.859534037E-1,4.222886060E-1
2.667592916E-1,2.919928466E-1,-1.498575591E-1,-2.156499910E-1,3.927111268E-1
2.766912917E-1,3.604653499E-1,-1.404110898E-1,8.928113580E-3,3.869499371E-1
2.866222917E-1,4.334892527E-1,-1.853438723E-1,2.945973426E-1,5.559252445E-1
2.965542916E-1,4.572247821E-1,-2.302538507E-1,2.827964920E-1,5.848462986E-1
3.064862916E-1,3.572610026E-1,-2.440459706E-1,2.376045316E-1,4.936089274E-1
3.164182917E-1,2.258470235E-1,-2.172785868E-1,1.563639021E-1,3.502378223E-1
3.263502917E-1,9.326725580E-2,-2.079402910E-1,-1.677332282E-2,2.285154043E-1
3.362812917E-1,3.119533405E-2,-1.864039725E-1,-1.828897959E-1,2.629986070E-1
3.462132916E-1,9.907449111E-3,-1.353772219E-1,-3.356828034E-1,3.620885171E-1
3.561452916E-1,7.059803925E-2,2.796489358E-2,-3.324399376E-1,3.410020975E-1
3.660772917E-1,1.577723502E-1,1.257440802E-1,-1.868249720E-1,2.749677406E-1
3.760092917E-1,2.048194858E-1,7.565317646E-2,-1.463528842E-1,2.628565989E-1
3.859402916E-1,2.027713524E-1,-3.371563017E-2,-2.514431369E-1,3.247716370E-1
3.958722916E-1,9.570861451E-2,-1.015697904E-1,-4.213603002E-1,4.438705485E-1
4.058042917E-1,8.592841543E-2,-7.585534394E-2,-6.015855199E-1,6.124074326E-1
4.157362917E-1,3.594466918E-1,1.560047369E-1,-6.937657052E-1,7.967749092E-1
4.256682916E-1,7.637425509E-1,4.268049350E-1,-7.217937487E-1,1.134218388E0
4.356002916E-1,1.179757400E0,6.876139958E-1,-8.790142679E-1,1.623978637E0
4.455312917E-1,1.504797467E0,7.755205974E-1,-1.168160836E0,2.056805132E0
4.554632917E-1,1.753693118E0,7.465496904E-1,-1.483142742E0,2.415054530E0
4.653952916E-1,1.770547571E0,6.010043067E-1,-1.644152257E0,2.489835641E0
4.753272916E-1,1.635224143E0,4.107734777E-1,-1.699668061E0,2.394068580E0
4.852592917E-1,1.595432087E0,3.801144795E-1,-1.768969261E0,2.412289951E0
4.951902917E-1,1.641825065E0,4.550234516E-1,-1.897729043E0,2.550296337E0
5.051222916E-1,1.613688409E0,4.272250575E-1,-2.152991581E0,2.724313543E0
5.150542916E-1,1.729064938E0,5.205167985E-1,-2.551400975E0,3.125739950E0
5.249862917E-1,1.897673494E0,6.302517870E-1,-2.800443245E0,3.441055706E0
5.349182917E-1,1.899576471E0,7.070684132E-1,-2.632142837E0,3.322124685E0
5.448502916E-1,1.764908955E0,8.675046086E-1,-2.281096475E0,3.011788337E0
5.547812916E-1,1.377063725E0,8.384964256E-1,-1.843802512E0,2.449283254E0
5.647132916E-1,1.013595611E0,5.365508871E-1,-1.316742679E0,1.746159843E0
5.746452917E-1,6.202223504E-1,1.750626399E-1,-4.241470832E-1,7.715072520E-1
5.845772916E-1,2.394401188E-1,-2.023067911E-1,8.382217526E-1,8.949163731E-1
5.945092916E-1,-1.504101209E-1,-6.251522841E-1,1.985202219E0,2.086735833E0
6.044402916E-1,-5.070937841E-1,-9.661073025E-1,2.813479612E0,3.017643941E0
6.143722917E-1,-8.732809268E-1,-1.150508019E0,3.392035874E0,3.686759505E0
6.243042917E-1,-1.153150303E0,-1.168313083E0,3.537793511E0,3.900088974E0
6.342362916E-1,-1.361195113E0,-1.015831513E0,3.297995689E0,3.709655154E0
6.441682916E-1,-1.446555106E0,-7.364808581E-1,2.853277516E0,3.282699851E0
6.540992917E-1,-1.532742041E0,-4.904854258E-1,2.436102068E0,2.919669057E0
6.640312917E-1,-1.668724742E0,-4.141354074E-1,2.056342953E0,2.680428463E0
6.739632916E-1,-1.790070547E0,-4.140287688E-1,1.709856250E0,2.509856725E0
6.838952916E-1,-1.832508322E0,-4.227235054E-1,1.556752755E0,2.441364588E0
6.938272917E-1,-1.751265061E0,-4.258919654E-1,1.635641634E0,2.433852263E0
7.037592917E-1,-1.722225011E0,-4.148504488E-1,1.894317192E0,2.593568489E0
7.136902916E-1,-1.671031469E0,-4.500745875E-1,2.218220780E0,2.813435041E0
7.236222916E-1,-1.639810992E0,-6.231192072E-1,2.553519421E0,3.098018571E0
7.335542917E-1,-1.466551121E0,-8.875931565E-1,3.055706953E0,3.503703581E0
7.434862917E-1,-1.189960133E0,-1.092596537E0,3.686442012E0,4.024876026E0
7.534182916E-1,-8.518331936E-1,-1.149409473E0,4.216600869E0,4.452694108E0
7.633492500E-1,-5.232368501E-1,-1.122857559E0,4.502382365E0,4.669693016E0
7.732812500E-1,-1.778179941E-1,-1.000985652E0,4.574594309E0,4.686203645E0
7.832132500E-1,1.573169252E-1,-8.760419089E-1,4.754873323E0,4.837459908E0
7.931452500E-1,3.871700954E-1,-9.188156071E-1,4.955843294E0,5.055146443E0
8.030772500E-1,4.400325794E-1,-1.077655586E0,5.000303768E0,5.134005065E0
8.130092500E-1,3.294840970E-1,-1.315865597E0,4.842429530E0,5.028835431E0
8.229402500E-1,2.252831326E-1,-1.433424744E0,4.469906929E0,4.699524119E0
8.328722500E-1,1.320858973E-1,-1.425508784E0,3.843236269E0,4.101217746E0
8.428042500E-1,6.426930539E-2,-1.315470032E0,3.018028665E0,3.292884597E0
8.527362500E-1,4.526643924E-2,-1.107907837E0,1.997829282E0,2.284913711E0
